gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3418869513	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/05/eb0cde370b11c8511573cc3f1a55f874.jpg											
3418869512	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/05/96b5002e6fb97e22b3154008ffcf05cc.jpg											
3418869511	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/09/s6abootz9bxk07qlekz4tzn0z4qmvpox.jpg											
3418869509	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/06/0qn873usr3tp5cehq9w62547c8uc07e2.jpg											
3418869508	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/04/piovuodhynbck02qdbg1za7ey5zp3d1r.jpg											
3418869507	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/06/rpw4uk7zty1znl7akmx6abzu2vspx4e7.jpg											
3418869504	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/48fa356d3367933243b90ebafcd29ee9.jpg											
3418869502	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/bcc82ec0be9305d99e0704429df7809c.jpg											
3418869498	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/05/c0ltz5y1fxharcjm747fe4fzp82gtf17.jpg											
3418869497	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/08/78cbcaae65f372e421e027e145994aac.jpg											
3418869496	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/05/dk18lbsdu63ngouvkcpk1uxp89yp79al.jpg											
3418869493	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/09/8dilzqbk4u8mt80kgeu93hwq3snzi9kc.jpg											
3418869492	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/08/paz0hb6sxpzbzj3tva7lbfw2ys8sjjff.jpg											
3418869490	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/2e12508b73780ba726e9ea0beae9a9e9.jpg											
3418869489	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/08/har0c7bhsjpta5xc0lnoekypqzgqxqif.jpg											
3418869486	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/c516118bc8-1432133483115.jpg											
3418869485	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/05/2df72353b0e5eb002371f13a1027b13c.jpg											
3418869484	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/26df2a9198f1818527dcae570ae8fcc2.jpg											
3418869483	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/c6d1714757ab000a6f77f314ddbc1afb.jpg											
3418869482	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/01/a88b3486aa2f454b454d4c2f6d1b2d86.jpg											
3418869481	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/05/c97bfa1ec33e68e08991c212626c0586.jpg											
3418869480	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/01/9ad1c9637691331ffd4eadfa5ef7b2cd.jpg											
3418869479	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/07/42fnnlxkpyc11nsdbvsu4wj39eojzuuv.jpg											
3418869477	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/35e2faed2467379f78d5a7bbec345064.jpg											
3418869476	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/01/4605d74ff44ba4c38b739b04718953d0.jpg											
3418869475	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/01/2f7a3d81a1e7bb9e504dcb8d13644ea8.jpg											
3418869474	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/b25a0055ffe5381fc90ba73ef694d15f.jpg											
3418869473	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/01/8a04319e5c83500f32a8623c91d8223f.jpg											
3418869471	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/09/zt0acup6qmoetyglsyd8vljfnrw6bes3.jpg											
3418869470	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2016/09/50a70a23633c11f6696c4307aff4546f.jpg											
3418869469	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/11/dodpi4v3g6774ao6jtzobpxh5q22v1m0.jpg											
3418869468	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/01/f12aa9b4a47cf259ddfe2e70ba4b2a8b.jpg											
3418869467	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/d887f0531a9d6b9fa335b4d571ecd445.jpg											
3418869466	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/10/9ae2543c10-RK-Marder-08Mar2015.jpg											
3418869465	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/08/5d5ff387b271b3e6c6463a5268c13674.jpg											
3418869464	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/10/a1f7476375-RK-Eichh--rnchen-07Apr2015.jpg											
3418869463	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/10/60f1958963-RK-Wechselkr--te-08Mar2015.jpg											
3418869462	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/10/24ae64e8a3-RK-Wechselkr--te-10Apr2015.jpg											
3418869461	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/10/1d13420055-RK-Maus-10Apr2015.jpg											
3418869460	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/10/00457a7d7d-RK-Ringelnatter1-11Apr2015.jpg											
3418869459	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/10/ac126637d8-RK-Ringelnatter2-11Apr2015.jpg											
3418869458	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/10/b82ecdb24a-RK-Wechselkr--te-13Apr2015.jpg											
3418869457	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/10/89659e314a-RK-Ringelnatter2-13Apr2015.jpg											
3418869456	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/09/i7ihcuw9u85ud5lirl39h3j8enjh1lfi.jpg											
